ID,REVIEW
146,The guy at the reception was the unfriendliest receptionist ever.
147,Comfortable hotel with good restaurant attached.
148,Wifi was a plus.
149,This hotel was perfect for my needs; good value for money.
150,"Great value, professional staff and excellent accommodations!"
151,"Bathroom not cleaned, No lift, No heater, Not enough bathrooms or toilets on each floor"
152,I had no money my entire trip because i spent 1200 total on my room for 5 nights.
153,However the restaurant downstairs served good food at reasonable prices.
154,The room was clean and the staff friendly.
155,Windows haven't been cleaned for years (if ever).
156,Internet connection was very bad.
157,"On a positive note it was clean, there was always hot water and elevators so you don' t have to haul your luggage up stairs."
158,"Larissa at reception was friendly and professional, our room on the 27th floor was good"
159,"excellent hotel, clean, very friendly and courteous staff, very comfortable beds"
160,"Had to call several times for more ""complimentary"" coffee!"
161,the carpet is old and stained.
162,Convenient restaurant/bar and continental breakfast.
163,"Staff very nice, room clean, comfortable."
164,"Great staff, location, breakfast."
165,"Great location, very quite, and helpful, accommodating staff."
166,This is a great location clean hotel and good staff.
167,"The WIFI connection is not very stable,"
168,We had breakfast at the hotel and the food was good and service was good as well.
169,Wifi connection was not good.
170,Belgian waffle maker at breakfast was great.
171,"Very central, room was clean, bar has a great atmosphere, offers a free breakfast in the morning and free tea and coffee in the bar during the day"
172,"Staff were friendly& helpful, the strong wifi,more food choices for breakfast!"
173,"Location, clean common areas"
174,Hotel was very clean and had character.
175,it made for a very expensive holiday.
176,Unclean bathrooms.
177,"Hotel was comfortable, clean and great location."
178,there was dust and tissue under the bed.
179,"I was charged for this hotel even though I canceled 4,days prior to arriving."
180,"Location, evening reception in the Reading Room, friendly and efficient staff, rooftop bar, restaurant downstairs."
181,"Internet in the room - doesn't matter how the hotel management justifies this, paying for a BASIC amenity like internet these days is ridiculous."
182,The floor was not very clean.
183,We all agreed we would like to see a meat option like sausage at the breakfast.
184,even a great rate in NYC isn't cheap!
185,My room was immaculate and smelled so fresh and clean.
186,"Super nice staff, very clean , bed was super comfortable , nice view , good location ."
187,But fare to say only of the few hotels with free breakfast
188,The price is too expensive
189,"Unstable wifi, weak heater, lack of coffee/tea amenities"
190,Continental breakfast quality was poor.
191,"Convenient, friendly, service and availability of refreshments throughout the day."
192,No fruit salad.
193,Rooms way to small its just a closet with a bed no room to do anything and staff was not helpful at all wow no good
194,Foods were nice.
195,We didn't like the mouse in the room.
196,"location, breakfast, friendly staff"
197,"Huge beds, friendly staff."
198,"Was cold in room, dirty bathroom"
199,Would recommend to people who are young and do not care too much about most things other than money.
200,Reasonably priced Italian restaurant off the paneled lobby.
201,"Facilities are clean, use of the kitchen and fridge was great and the location is good."
202,Would of expected cooked breakfast and wifi to be included in price.
203,Felix acknowledged our birthdays with cupcakes and candles and provided us with a room with two beds.
204,"Nice location, room size and cleanliness."
205,"LOCATION-safe, family oriented, nearby grocery, restaurants pharmacy, close to sites"
206,Very good value at $100 a night !!
207,Breakfast not available in Hotel.
208,The wifi didn't always work.
209,"have to check-out at noon next morning, feel really unfair for value we paid and toilet water's pour out"
210,I also enjoyed the complimentary breakfast muffins & coffee.
211,"Location, staff, good service, clean big rooms"
212,Room was not cleaned even once during our stay.
213,Hard to sleep due to the traffic noise on the street.
214,Bad wifi
215,The room and location were fine and the price was reasonable.
216,Cocktails at the bar were expensive and very poor
217,We had no hot water for one week and the hotel was located nearly under Manhattan bridge.
218,The hotel offers a good continental breakfast that offers more than donuts.
219,Crumbs from snacks were not cleaned up for 3 days!!
220,the bathroom was a little dirty with hair at the walls
221,"Very small room, breakfast had to be eaten standing."
222,"Great location, great helpful stuff, very rich breakfast."
223,The room was noisy at night from traffic and bars on Amsterdam.
224,Too expensive for the breakfast and poor
225,To have  to pay for wifi  this  is totally outrageous.
226,"It was fairly quiet, the staff were friendly and the rooms were clean"
227,The location was amazing the price was great.
228,Very kind employee and clean facilities.
229,"As was d dinner and wine from 5pm to 7pm, which was lovely also."
230,"noisy rooms, no facilities other than one bar cum restaurant."
231,They also serve nice coffee and tea on first floor!
232,Always kept clean.
233,There was also a blood stain on the comforter that definitely did not come from us.
234,"comfortable rooms, good breakfast, good exercise room"
235,Great Location / Staff / Value
236,The room floors were dirty.
237,Found a cheap one on 43rd and 8th for $32 for 24 hours.
238,The rooms were clean and comfortable and the location was pretty good.
239,Comfort I enjoyed the rooftop bar and lounge .
240,Nice staff & location near from any tourism objects
241,"Rather dirty (rug, furniture)."
242,"The location is just perfect, the staff are excellent and the hotel spotlessly clean."
243,"Elevators a problem - took minutes to get one - all staff were using them, making them busy."
244,Staff was very friendly and the room and hotel were very clean.
245,Given the size of the rooms I did think it was expensive.
246,"Room was a little older, could use an update and was expensive."
247,The construction and street noise were disruptive.
248,"The free wine and cheese was none too shabby, either."
249,Considering the prices of the drinks this could be added.
250,I would not think the price is reasonable for the tiny room.
251,"Great value for money and perfect location, with a fine restaurant attached."
252,The Wifi didn't work.
253,"no spotless,did not refresh coffee and tea bags daily, plastic cups"
254,The Wifi was not free and 15$ per night
255,clean and staff really try to accommodate requests etc.
256,Quite pricey considering where it's based.
257,"Location, staff, breakfast, evening drinks."
258,Long hair in bath.
259,"Though the neighboring area does not look clean, inside the hostel it is very well maintained and super clean."
260,"Friendly staff, comfortable facility, safe neighborhood in the middle of day and night city life."
261,Should improve wifi
262,"Staff all amazing from front desk, to bell hop, to bartender at the great penthouse bar with a view of Central Park!"
263,Free wi-fi
264,not much regarding food or drinks- no one to help with luggage
265,"Excellent restaurant, good room service menu."
266,"internet was unstable, elevators were too slow, sometimes front desk staff were a little rude"
267,Internet only worked in part of the room.
268,Location; comfort of bed; clean; quite; opposite zuma restaurant; good internet service (used to be slow before); good selection for breakfast; most of staff are kind & helpful...
269,The cleanliness of the room was ok. 24hr desk is great.
270,free WiFi in lobby.
271,I'm an early riser and I would have liked to relax in the lobby with some coffee.
272,No breakfast included in a $550 room is ridiculous.
273,"Reasonably clean, friendly service."
274,"They have a terrific free wine and cheese each evening, which means meeting the owners and other guests."
275,Elevator was crowded and the wifi signal is weak
276,Location and cleanliness are excellent!
277,Good value for money and friendly staff.
278,"Staff were friendly and accommodating, and the wi-fi signal was exceptionally strong!"
279,Responsiveness of cleaning staff - toiletries were not replenished regularly.
280,"The staff were friendly and the facilities were great - wifi, PC and printer, free tea and coffee."
281,WiFi was not freely available and was at a daily charge.
282,I was also overcharged; when ask member of stuff to explain they just blamed their colleague for miscalculation and weren't that apologetic.
283,"The staff are what make this hotel, especially the waitress who served us breakfast each morning and the waiter on duty in the evenings."
284,For a 5 star hotel that is a very cheap way to treat customers.
285,There are a lot of food around the area.
286,"spotless - clean, modern and staff very friendly and really helpful!"
287,It was a bad experience.
288,"No fridge no microwave , made me want to go home to expensive for value of hotel"
289,"Some thinks didn’t work well : air, tv , open windows,"
290,Location is actually quite convenient ( bus is 24/7 access to most of spotlight of NYC. Staff are quite helpful. Free printing service. Fast/Free wireless. Laundry service is a plus.
291,"Friendliness of the staff, location"
292,"Although management apologized, the other couple were offered the room at half of our rate."
293,"Well located, friendly staff, comfortable bed, good wifi."
294,The room was too small for a price tag of $280 + there wasn’t even a complimentary water given
295,loved the roof terrace and the area ...the cleaning staff are amazing so polite .... the tea and coffee was good .....but it was sad to see such a beautiful  lounge and rooftop wasted and empty ..
296,"Service with a smile. Although in China town, it is still in Manhattan. Free and not slow wifi."
297,For 3 people in a bedroom the sofa bed is a bit uncomfortable
298,My daughter and myself enjoyed the food at the restaurant ( located conveniently at the hotel.)
299,"Although rooms are not big, they are clean and comfortable."
300,"no any view ( a wall ), noisy, air conditioned noisy, internet connection access very poor, the concierge is not there always, breakfast included very poor."
301,Overall restaurant experience was disappointing.
302,it wasn't even that cheap!
303,Staff were very polite and friendly. Room was clean and tidy. Excellent location
304,We had the most iconic view of the Manhattan skyline in every room.
305,Friendly staff. Relatively clean (a little bit of dust on the small  coffer). Fair price.
306,Hotel self service laundry. More space than many NY hotels. Very clean. Very friendly staff.
307,Surely this is against health and safety regulations?.
308,"Room is exactly what I expected, bathroom was nicely modern and very clean!"
309,"1. staff at the front desk were not friendly. 2, food (room service) was horrific and not edible at all."
310,"We thought that it might be best if there was a separate lift for the staff and cleaning service to use, however, this wasn’t a huge issue."
311,Breakfast included. Happy hour. Neat and clean upon arrival to room. Coffee available all day with flavored creamers at lobby location. Good location within city
312,Everything I needed. Cafe was great and reasonable pricing. The elevator system (new to me). I did not eat the donuts.
313,"very poor service, extremely unfriendly , arrogant and not helpful, no customer orientation at all, no minibar in room... i had to wait so long to check in."
314,"terrible mattress, wires all over smells industrial elevator  etc"
315,Complimentary breakfast - could not find yogurt or fruit others were eating - not really anyone around to ask.
316,price of accommodation is over priced for what its worth.
317,"The High Line is close-by, and there are lots of great shops and restaurants too."
318,Spacious. Helpful friendly staff
319,"Location, price, stuff."
320,Staffs was very friendly. Room was very clean and the towels were like brand new.
321,"Location, too far from attractions. Hotel food choice very limited restaurant staff very remote"
322,The complimentary WiFi.
323,"Good placed in the city, very close to Times Square and Rockefeller center, good restaurants and bars close to it."
324,"I enjoyed it because it was clean, quiet, and staff was friendly."
325,"Easy to access breakfast room, guest rooms and elevators."
326,noise from subway from Manhattan Bridge (hotel is very close to it; 10 meters maybe); wi-fi sometimes was sometimes wasn't)
327,"The price was right, we only needed a bed to sleep. Bathroom and showers were clean, room was clean."
328,Location was great. Staff were friendly and helpful. Hotel lobby and room were very clean. Restaurant ( Rare ) had a cool vibe and good food
329, It was an ok experience.
330,It was too expensive.
331,I had an ok time.
332,"I had an good time, but the room was overpriced."
333,"I had a good stay, but it was too pricey."
334,It was too pricey.
335,I had a mediocre time.
