ID,REVISIÓN,ETIQUETA
38,El personal de recepción es muy antipático: no responde a las necesidades y da información incorrecta.,0
39,"El personal es educado, conversador y muy servicial.",1
40,"Aunque estaba limpia y la cama era cómoda, la habitación era un poco pequeña.",0
41,¡Y lo mejor de todo fue la ubicación!,1
42,"Wi-Fi esporádico, conexión muy lenta.",0
43,Las alfombras del pasillo y la alfombra de la habitación estaban sucias.,0
44,"A poca distancia del Empire State Building, Times Square, Central Park y Grand Central estaba a la vuelta de la esquina si prefiere tomar un tren o metro.",1
45,"Las habitaciones son extremadamente pequeñas, prácticamente solo una cama.",0
46,Colchón muy cómodo.,1
47,No se ofrece desayuno.,0
48,Fue muy conveniente.,1
49,El personal era miserable.,0
50,Sin baño en la habitación,0
51,Toda la cama olía asquerosa y tenía mantas realmente baratas.,0
52,El personal del restaurante es mucho mejor que el del hotel.,0
53,La cama era tan cómoda.,1
54,El personal de recepción no fue muy amable y aparentemente no le gustó su trabajo en absoluto.,0
55,Las camas son cómodas y el aire acondicionado funciona bien,1
56,Muy cerca de Times Square,1
57,"Habitaciones muy bien ubicadas, modernas, grandes y limpias.",1
58,El personal fue increíble.,0
59,El área puede ser peligrosa incluso cerca de la estación de metro.,0
60,alguien debe haber estado fumando en la habitación de al lado.,0
61,"Sucio, el ascensor es lento, tiene que compartir el baño con otros",0
62,"Desayuno buffet muy bueno, nos mantuvo hasta la noche.",1
63,"Habitaciones muy amplias, tranquilas y muy cómodas.",1
64,Las luces de la sala común eran demasiado tenues.,0
65,Aire acondicionado funcionando bien.,1
66,Me quedé 5 días más con el mismo mal olor.,0
67,"Para los que están relativamente en forma, también está a poca distancia de Times Square / 5th Avenue, etc.",1
68,Mala actitud como si no quisiera estar allí.,0
69,"ubicación, bonita habitación tranquila y cómoda, gran wifi, excelente desayuno buffet gratuito",1
70,Echaba de menos tener una nevera o un desayuno en el lugar,0
71,"La ubicación es genial, a una cuadra y media de la estación Grand Central.",1
72,"Aproximadamente a 5 cuadras a pie de Grand Central, donde puede acceder a muchas líneas de metro.",1
73,"Muy cerca del metro, fácil de encontrar.",1
74,"Terribles y pequeños cubículos, que se comercializan como habitaciones.",0
75,Nuestra habitación daba a la parte trasera de otro edificio de oficinas.,0
76,Excelente precio para un viajero de negocios en solitario.,1
77,Fue maravilloso trabajar con todos en este hotel.,1
78,El gimnasio era muy pequeño y básico.,0
79,"Los colchones eran demasiado ""elásticos"" e incómodos.",0
80,Hizo que fuera realmente fácil llegar a cualquier lugar en poco tiempo.,1
81,Nos pasaron de categoría.,1
82,El personal es muy agradable en el mostrador.,1
83,La habitación no se limpió ni se hizo la cama,0
84,"Habitaciones limpias, servicio de recepción genial, experiencia muy personal en general.",1
85,Cerca de Times Square.,1
86,Está cerca de dos estaciones de metro: Grand St y Bowery St,1
87,"La ubicación es increíble, justo en el corazón del distrito Flatiron.",1
88,No había máquinas expendedoras que funcionaran.,0
89,"El calor en la habitación fluctuaba, a veces sentía una pequeña corriente de aire, y en mi última noche, el ventilador era muy ruidoso.",0
90,"La ubicación del hotel es perfecta: a 20 metros del metro (C, E) ya una cuadra de la línea roja.",1
91,"El edificio estaba en renovación,",0
92,"Desayuno perfecto, gran comienzo del día.",1
93,"Este hotel es más adecuado para viajes de negocios que para turistas, porque el centro está demasiado lejos de la mayoría de las atracciones de Manhattan.",0
94,Habitación demasiado pequeña para abrir la maleta.,0
95,"Casi todo, precio razonable para la ubicación, perfectamente ubicado, personal excelente.",1
96,ningún ascensor puede ser un desafío para algunas personas,0
97,Me picaron chinches.,0
98,Recibimos un descuento de $ 100 por noche cuando nos quejamos.,0
99,Tuve que pedirlo y obtuve solo 60 dólares de descuento.,0
100,La ubicación era excelente y el precio increíble.,1
101,La televisión no funcionaba.,0
102,Los pasillos de la habitación estaban viejos y no se sentían limpios.,0
103,el personal traerá el equipaje.,1
104,Parece que tienen un sesgo de género ya que solo veo a hombres trabajando en la recepción cada vez que visito el hotel.,0
105,El agua caliente era abundante y el aire acondicionado (unidad de ventana) estaba helado - ¡Excelente!,1
106,¡El desayuno era delicioso cada mañana!,1
107,El bar tiene un gran ambiente y sirve comida deliciosa.,1
108,"Internet debería ser gratis, realmente no es bueno.",0
109,También me cobraron de más por la limpieza en seco.,0
110,"Dado que esto es Nueva York y tiene un precio razonable, creo que es bastante justo.",1
111,También hay una estación de metro justo fuera del hotel y muchos lugares para comer y comprar.,1
112,Todo lo que necesitábamos estaba allí o con una llamada telefónica.,1
113,Cosmo se hizo de la manera correcta en todos los demás restaurantes y salones durante nuestra estadía.,1
114,"Nos gustó mucho la ubicación, también el personal.",1
115,Ubicación y precio: inmejorable en Manhattan,1
116,Apenas hay espacio para algo más que dormir.,0
117,El ascensor fue un poco complicado con el acceso con tarjeta.,0
118,El wi-fi gratuito era irregular y la mayor parte del tiempo no funcionaba sin explicación del personal.,0
119,"El personal fue increíble, muy amable y servicial.",1
120,"Personal amable, buena ubicación y limpio !!",1
121,"Un hotel muy bueno, con una buena relación calidad-precio.",1
122,Tuvimos que ir al ascensor para obtener una señal adecuada.,0
123,La ubicación era increíble y la habitación era lo suficientemente grande para nosotros tres.,1
124,Falta de té o café de cortesía.,0
125,El acceso wifi fue excelente.,1
126,no son buenas condiciones de relación calidad-precio.,0
127,Wifi gratuito fiable.,1
128,El personal podría beneficiarse del servicio con una sonrisa.,0
129,"Pero ese desayuno, aunque bueno, era excesivamente caro.",0
130,El precio razonable.,1
131,El restaurante es muy bueno.,1
132,no es un desayuno real.,0
133,"El vestíbulo está super cargado y tuve un encuentro con una cucaracha en mi habitación, asqueroso.",0
134,La parte superior de la ventana fue luego cubierta por la persiana sucia.,0
135,"Sinceramente, la habitación es cara.",0
136,"La ubicación era excelente, excelentes pequeños artículos como vino / queso y desayuno complementarios era bueno.",1
137,"esto era de esperar, toallas limpias y limpieza de la habitación todos los días.",1
138,"Oye, obtienes lo que pagas.",1
139,El personal servicial y eficiente.,1
140,"Las estancias en Nueva York son caras, así que siempre que no tengas expectativas altas, esta es una buena opción.",1
141,La cafetería era genial y hacen buena comida.,1
142,Disfrutamos de bebidas en el patio del hotel.,1
143,"aseo, amenidades en el baño con espejo de aumento, azulejos y mármol.",1
144,El baño esta sucio.,0
145,Gran restaurante en el hotel.,1
146,El tipo de la recepción fue el recepcionista más antipático de todos.,0
147,Hotel confortable con buen restaurante adjunto.,1
148,Wifi fue una ventaja.,1
149,Este hotel fue perfecto para mis necesidades; buen valor para el dinero.,1
150,"Excelente relación calidad-precio, personal profesional y excelente alojamiento.",1
151,"Baño sin limpiar, Sin ascensor, Sin calentador, No hay suficientes baños o inodoros en cada piso",0
152,No tenía dinero durante todo mi viaje porque gasté 1200 en total en mi habitación por 5 noches.,0
153,"Sin embargo, el restaurante de la planta baja sirve buena comida a precios razonables.",1
154,La habitación estaba limpia y el personal amable.,1
155,Las ventanas no se han limpiado durante años (si es que alguna vez lo han hecho).,0
156,La conexión a Internet era muy mala.,0
157,"En una nota positiva, estaba limpio, siempre había agua caliente y ascensores para que no tengas que subir tu equipaje por las escaleras.",1
158,"Larissa en la recepción fue amable y profesional, nuestra habitación en el piso 27 era buena",1
159,"excelente hotel, limpio, personal muy amable y cortés, camas muy cómodas",1
160,"Tuve que llamar varias veces para obtener más café ""gratuito"".",0
161,la alfombra está vieja y manchada.,0
162,Restaurante / bar conveniente y desayuno continental.,1
163,"Personal muy agradable, habitación limpia, cómoda.",1
164,"Gran personal, ubicación, desayuno.",1
165,"Excelente ubicación, personal muy tranquilo, servicial y complaciente.",1
166,Es un hotel limpio de excelente ubicación y buen personal.,1
167,"La conexión WIFI no es muy estable,",0
168,Desayunamos en el hotel y la comida era buena y el servicio también era bueno.,1
169,La conexión wifi no era buena.,0
170,Máquina de gofres belga en el desayuno era genial.,1
171,"Muy céntrico, la habitación estaba limpia, el bar tiene un gran ambiente, ofrece un desayuno gratis por la mañana y té y café gratis en el bar durante el día",1
172,"El personal era amable y servicial, el wifi fuerte, ¡más opciones de comida para el desayuno!",1
173,"Ubicación, áreas comunes limpias",1
174,El hotel estaba muy limpio y tenía carácter.,1
175,hizo unas vacaciones muy caras.,0
176,Baños sucios.,0
177,"El hotel era cómodo, limpio y con una excelente ubicación.",1
178,había polvo y pañuelos debajo de la cama.,0
179,Me cobraron por este hotel a pesar de que cancelé 4 días antes de llegar.,0
180,"Ubicación, recepción nocturna en la sala de lectura, personal amable y eficiente, bar en la azotea, restaurante en la planta baja.",1
181,"Internet en la habitación: no importa cómo la gerencia del hotel lo justifique, pagar por un servicio BÁSICO como Internet en estos días es ridículo.",0
182,El suelo no estaba muy limpio.,0
183,Todos estuvimos de acuerdo en que nos gustaría ver una opción de carne como salchichas en el desayuno.,0
184,¡Incluso una buena tarifa en Nueva York no es barata!,0
185,Mi habitación estaba impecable y olía tan fresco y limpio.,1
186,"Personal super agradable, muy limpio, la cama era super cómoda, linda vista, buena ubicación.",1
187,Pero decir solo de los pocos hoteles con desayuno gratis,1
188,El precio es demasiado caro,0
189,"Wifi inestable, calentador débil, falta de servicios de café / té",0
190,La calidad del desayuno continental era mala.,0
191,"Servicio conveniente, amable y disponibilidad de refrigerios durante todo el día.",1
192,Sin ensalada de frutas.,0
193,"Las habitaciones son muy pequeñas, es solo un armario con una cama, no hay espacio para hacer nada y el personal no fue útil en absoluto, guau, no es bueno",0
194,La comida era buena.,1
195,No nos gustó el ratón en la habitación.,0
196,"ubicación, desayuno, personal amable",1
197,"Camas enormes, personal amable.",1
198,"Hacía frío en la habitación, baño sucio",0
199,Se lo recomendaría a personas jóvenes y que no se preocupan demasiado por la mayoría de las cosas además del dinero.,0
200,Restaurante italiano a un precio razonable en el vestíbulo con paneles.,1
201,"Las instalaciones están limpias, el uso de la cocina y la nevera fue excelente y la ubicación es buena.",1
202,Esperaría que el desayuno caliente y el wifi estuvieran incluidos en el precio.,0
203,Felix agradeció nuestros cumpleaños con pastelitos y velas y nos proporcionó una habitación con dos camas.,1
204,"Buena ubicación, tamaño de la habitación y limpieza.",1
205,"UBICACIÓN seguro, orientado a la familia, supermercado cercano, farmacia de restaurantes, cerca de sitios",1
206,Muy buena relación calidad-precio a $ 100 la noche.,1
207,Desayuno no disponible en el Hotel.,0
208,El wifi no siempre funcionaba.,0
209,"tengo que hacer el check-out al mediodía de la mañana siguiente, me siento realmente injusto por el valor que pagamos y el agua del inodoro se derrama",0
210,También disfruté del café y magdalenas de desayuno de cortesía.,1
211,"Ubicación, personal, buen servicio, habitaciones grandes y limpias.",1
212,La habitación no se limpió ni una sola vez durante nuestra estancia.,0
213,Dificultad para dormir debido al ruido del tráfico en la calle.,0
214,Mala wifi,0
215,La habitación y la ubicación estaban bien y el precio era razonable.,1
216,Los cócteles en el bar eran caros y muy pobres.,0
217,No tuvimos agua caliente durante una semana y el hotel estaba ubicado casi debajo del puente de Manhattan.,0
218,El hotel ofrece un buen desayuno continental que ofrece más que rosquillas.,1
219,¡Las migas de los bocadillos no se limpiaron durante 3 días!,0
220,el baño estaba un poco sucio con pelos en las paredes,0
221,"Habitación muy pequeña, el desayuno debía tomarse de pie.",0
222,"Excelente ubicación, excelentes cosas útiles, desayuno muy rico.",1
223,La habitación era ruidosa por la noche por el tráfico y los bares de Amsterdam.,0
224,Demasiado caro para el desayuno y pobre.,0
225,Tener que pagar por wifi es una barbaridad.,0
226,"Era bastante tranquilo, el personal era amable y las habitaciones estaban limpias.",1
227,"La ubicación era increíble, el precio era genial.",1
228,Empleado muy amable e instalaciones limpias.,1
229,"Al igual que la cena y el vino de 5 pm a 7 pm, lo cual también fue encantador.",1
230,"habitaciones ruidosas, no hay instalaciones más que un bar con restaurante.",0
231,También sirven un buen café y té en el primer piso.,1
232,Siempre limpio.,1
233,También había una mancha de sangre en el edredón que definitivamente no provenía de nosotros.,0
234,"habitaciones cómodas, buen desayuno, buen gimnasio",1
235,Excelente ubicación / personal / valor,1
236,Los suelos de las habitaciones estaban sucios.,0
237,Encontré uno barato en 43 y 8 por $ 32 por 24 horas.,1
238,Las habitaciones estaban limpias y eran cómodas y la ubicación era bastante buena.,1
239,Comodidad Disfruté del bar y salón de la azotea.,1
240,Personal agradable y ubicación cerca de cualquier objeto turístico,1
241,"Bastante sucio (alfombra, muebles).",0
242,"La ubicación es perfecta, el personal es excelente y el hotel está impecablemente limpio.",1
243,"Los ascensores eran un problema; tomó unos minutos conseguir uno; todo el personal los usaba, lo que los hacía ocupados.",0
244,El personal era muy amable y la habitación y el hotel estaban muy limpios.,1
245,"Dado el tamaño de las habitaciones, pensé que era caro.",0
246,"La habitación era un poco mayor, le vendría bien una reforma y era cara.",0
247,La construcción y el ruido de la calle eran molestos.,0
248,El vino y el queso gratis tampoco estaban nada mal.,1
249,Teniendo en cuenta los precios de las bebidas esto podría agregarse.,0
250,No creo que el precio sea razonable para la habitación pequeña.,0
251,"Excelente relación calidad-precio y ubicación perfecta, con un excelente restaurante adjunto.",1
252,El Wifi no funcionó.,0
253,"no impecable, no refrescaba bolsas de café y té a diario, vasos de plástico",0
254,El wifi no era gratis y 15 $ por noche.,0
255,"limpio y el personal realmente intenta satisfacer las solicitudes, etc.",1
256,Bastante caro considerando dónde está ubicado.,0
257,"Ubicación, personal, desayuno, bebidas por la noche.",1
258,Cabello largo en el baño.,0
259,"Aunque la zona vecina no parece limpia, el interior del albergue está muy bien cuidado y super limpio.",1
260,"Personal amable, instalaciones cómodas, vecindario seguro en medio de la vida diurna y nocturna de la ciudad.",1
261,Debería mejorar el wifi,0
262,¡El personal es increíble desde la recepción hasta el botones y el barman en el gran bar del ático con vista a Central Park!,1
263,Wi-Fi gratis,1
264,"no mucho con respecto a comida o bebidas, nadie para ayudar con el equipaje",0
265,"Excelente restaurante, buen menú de servicio a la habitación.",1
266,"Internet era inestable, los ascensores eran demasiado lentos, a veces el personal de recepción era un poco grosero",0
267,Internet solo funcionaba en parte de la habitación.,0
268,Ubicación; comodidad de la cama; limpiar; bastante; frente al restaurante zuma; buen servicio de Internet (antes era lento); buena selección para el desayuno; la mayoría del personal es amable y servicial ...,1
269,La limpieza de la habitación estaba bien. El escritorio las 24 horas es excelente.,1
270,WiFi gratis en el lobby.,1
271,Soy madrugador y me hubiera gustado relajarme en el vestíbulo con un café.,0
272,No hay desayuno incluido en una habitación de $ 550 es ridículo.,0
273,Servicio razonablemente limpio y agradable.,1
274,"Tienen un excelente vino y queso gratis cada noche, lo que significa reunirse con los propietarios y otros huéspedes.",1
275,El ascensor estaba lleno y la señal wifi es débil,0
276,La ubicación y la limpieza son excelentes.,1
277,Buena relación calidad-precio y personal amable.,1
278,"El personal era amable y servicial, ¡y la señal de wi-fi era excepcionalmente fuerte!",1
279,Capacidad de respuesta del personal de limpieza: los artículos de tocador no se reponían regularmente.,1
280,"El personal era amable y las instalaciones eran geniales: wifi, PC e impresora, té y café gratis.",1
281,La conexión WiFi no estaba disponible gratuitamente y tenía un costo diario.,0
282,"También me cobraron de más; cuando le pido a un miembro de cosas que explique, simplemente culparon a su colega por un error de cálculo y no se disculparon tanto.",0
283,"El personal es lo que hace este hotel, especialmente la camarera que nos servía el desayuno cada mañana y el camarero de turno por las noches.",1
284,Para un hotel de 5 estrellas que es una forma muy barata de tratar a los clientes.,0
285,Hay mucha comida en la zona.,1
286,"impecable, limpio, moderno y el personal muy amable y realmente servicial.",1
287,Fue una mala experiencia.,0
288,"Sin nevera ni microondas, me dieron ganas de volver a casa demasiado caro por el valor del hotel",0
289,"Algunos piensan que no funcionó bien: aire, televisión, ventanas abiertas,",0
290,"La ubicación es bastante conveniente (el autobús tiene acceso las 24 horas, los 7 días de la semana a la mayor parte de los lugares destacados de Nueva York. El personal es muy útil. Servicio de impresión gratuito. Conexión inalámbrica rápida / gratuita. El servicio de lavandería es una ventaja.",1
291,"Amabilidad del personal, ubicación",1
292,"Aunque la dirección se disculpó, a la otra pareja le ofrecieron la habitación a la mitad de nuestra tarifa.",0
293,"Bien ubicado, personal amable, cama cómoda, buen wifi.",1
294,"La habitación era demasiado pequeña para un precio de $ 280 +, ni siquiera se ofreció agua de cortesía",0
295,"Me encantó la terraza de la azotea y el área ... el personal de limpieza es increíble, muy educado ... el té y el café eran buenos ... pero fue triste ver un salón y una azotea tan hermosos desperdiciados y vacíos ...",1
296,"Servicio con una sonrisa. Aunque en China Town, todavía está en Manhattan. Wifi gratuito y no lento.",1
297,"Para 3 personas en un dormitorio, el sofá cama es un poco incómodo.",0
298,Mi hija y yo disfrutamos de la comida en el restaurante (ubicado convenientemente en el hotel).,1
299,"Aunque las habitaciones no son grandes, están limpias y son cómodas.",1
300,"no hay vistas (una pared), ruidoso, aire acondicionado ruidoso, acceso a la conexión a Internet muy pobre, el conserje no siempre está allí, el desayuno incluido es muy pobre.",0
301,La experiencia general del restaurante fue decepcionante.,0
302,¡Ni siquiera era tan barato!,0
303,El personal fue muy educado y amable. La habitación estaba limpia y ordenada. Excelente ubicacion,1
304,Teníamos la vista más icónica del horizonte de Manhattan en cada habitación.,1
305,Personal amigable. Relativamente limpio (un poco de polvo en el cofre pequeño). Precio justo.,1
306,Lavandería de autoservicio del hotel. Más espacio que muchos hoteles de Nueva York. Muy limpio. Personal muy amable.,1
307,¿Seguro que esto va en contra de las normas de seguridad y salud ?.,0
308,"La habitación es exactamente lo que esperaba, el baño era muy moderno y estaba muy limpio.",1
309,"1. El personal de la recepción no era amable. 2, la comida (servicio de habitaciones) era horrible y nada comestible.",0
310,"Pensamos que sería mejor si hubiera un ascensor separado para que lo usaran el personal y el servicio de limpieza, sin embargo, esto no fue un gran problema.",0
311,Desayuno incluido. Hora feliz. Ordenado y limpio al llegar a la habitación. Café disponible todo el día con cremas aromatizadas en el lobby. Buena ubicacion dentro de la ciudad,1
312,Todo lo que necesitaba. Cafe era excelente y un precio razonable. El sistema de ascensores (nuevo para mí). No me comí las donas.,1
313,"muy mal servicio, extremadamente antipático, arrogante y nada servicial, sin orientación al cliente, sin minibar en la habitación ... Tuve que esperar tanto para registrarme.",0
314,"terrible colchón, cables por todas partes huele ascensor industrial, etc.",0
315,Desayuno de cortesía - no pude encontrar yogur o fruta que otros estaban comiendo - realmente no había nadie alrededor para preguntar.,0
316,El precio del alojamiento es demasiado caro para lo que vale.,0
317,La High Line está cerca y también hay muchas tiendas y restaurantes excelentes.,1
318,Espacioso. Personal amable y servicial,1
319,"Ubicación, precio, cosas.",1
320,El personal fue muy amable. La habitación estaba muy limpia y las toallas estaban como nuevas.,1
321,"Ubicación, demasiado lejos de las atracciones. Elección de comida del hotel personal del restaurante muy limitado muy remoto",0
322,El WiFi gratuito.,1
323,"Buenos lugares en la ciudad, muy cerca de Times Square y del Rockefeller Center, buenos restaurantes y bares cerca.",1
324,"Lo disfruté porque estaba limpio, tranquilo y el personal era amable.",1
325,"Sala de desayuno, habitaciones y ascensores de fácil acceso.",1
326,ruido del metro desde el puente de Manhattan (el hotel está muy cerca; quizás a 10 metros); wi-fi a veces a veces no lo era),0
327,"El precio estaba bien, solo necesitábamos una cama para dormir. El baño y las duchas estaban limpias, la habitación estaba limpia.",1
328,La ubicacion era genial. El personal fue amigable y útil. El vestíbulo del hotel y la habitación estaban muy limpias. El restaurante (raro) tenía un ambiente genial y buena comida.,1
329,Fue una buena experiencia.,0
330,Era demasiado caro.,0
331,Lo pasé bien.,1
332,"Me lo pasé bien, pero la habitación era demasiado cara.",0
333,"Tuve una buena estadía, pero fue demasiado caro.",0
334,Demasiado caro.,0
335,Pasé un tiempo mediocre.,0
